GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MaslyakBank_Account,MaslyakBank_Account.enums,BinCode,35,0,0,0,8,0,3,0,3,0
MaslyakBank_Account,MaslyakBank_Account.enums,AccountType,21,0,0,0,2,0,1,0,1,0
MaslyakBank_Account,MaslyakBank_Account.system.account,AccountSystem,40,0,8,0,9,0,5,0,1,0
MaslyakBank_Account,MaslyakBank_Account.system.account,IbanSystem,130,0,10,0,32,0,10,0,5,0
MaslyakBank_Account,MaslyakBank_Account.system.account,AccountFactory,32,0,0,0,13,0,2,0,2,0
MaslyakBank_Account,MaslyakBank_Account.mappers,AccountMapperImpl,3,0,0,0,1,0,1,0,1,0
MaslyakBank_Account,MaslyakBank_Account.system.builder,CardBuilder,81,0,4,0,16,0,8,0,6,0
MaslyakBank_Account,MaslyakBank_Account.system.builder,AccountBuilder,67,0,4,0,15,0,8,0,6,0
MaslyakBank_Account,MaslyakBank_Account.system.validators,CardExistenceValidator,20,0,4,0,6,0,4,0,2,0
MaslyakBank_Account,MaslyakBank_Account.system.validators,CardExpirationValidator,34,0,8,0,6,0,6,0,2,0
MaslyakBank_Account,MaslyakBank_Account.system.validators,SameCardValidator,20,0,6,0,5,0,5,0,2,0
MaslyakBank_Account,MaslyakBank_Account.system.validators,BalanceValidator,20,0,4,0,4,0,4,0,2,0
MaslyakBank_Account,MaslyakBank_Account.dao,CardDAO,54,0,6,0,20,0,5,0,2,0
MaslyakBank_Account,MaslyakBank_Account.dao,AccountDAO,98,0,12,0,37,0,9,0,3,0
MaslyakBank_Account,MaslyakBank_Account.system,CardSystem,129,0,12,0,28,0,10,0,4,0
MaslyakBank_Account,MaslyakBank_Account.controller,AccountController,14,0,0,0,4,0,3,0,3,0
MaslyakBank_Account,MaslyakBank_Account.controller,CardController,19,0,0,0,4,0,2,0,2,0
MaslyakBank_Account,MaslyakBank_Account,MaslyakBankAccountApplication,8,0,0,0,3,0,2,0,2,0
MaslyakBank_Account,MaslyakBank_Account,ServletInitializer,12,0,0,0,2,0,2,0,2,0
MaslyakBank_Account,MaslyakBank_Account,GlobalExceptionHandler,42,0,0,0,8,0,3,0,3,0
MaslyakBank_Account,MaslyakBank_Account.config,ValidatorConfig,17,0,0,0,2,0,2,0,2,0
MaslyakBank_Account,MaslyakBank_Account.config,RedisConfig,57,0,0,0,14,0,3,0,3,0
MaslyakBank_Account,MaslyakBank_Account.config,RestClientConfig,8,0,0,0,4,0,2,0,2,0
MaslyakBank_Account,MaslyakBank_Account.config,SecurityConfig,60,0,0,0,10,0,4,0,4,0
MaslyakBank_Account,MaslyakBank_Account.config,HibernateConfig,84,0,0,0,19,0,5,0,5,0
MaslyakBank_Account,MaslyakBank_Account.system.validators.exception,TransactionException,0,7,0,0,0,3,0,1,0,1
MaslyakBank_Account,MaslyakBank_Account.service,AccountService,0,97,0,4,0,23,0,5,0,3
MaslyakBank_Account,MaslyakBank_Account.service,CardService,0,69,0,4,0,16,0,5,0,3
