GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MaslyakBank_Core,MaslyakBank_Core.mappers,UserMapperImpl,2,37,1,1,1,10,1,2,0,2
MaslyakBank_Core,MaslyakBank_Core.mappers,ProfileMapperImpl,2,48,1,1,1,13,1,2,0,2
MaslyakBank_Core,MaslyakBank_Core.config,HibernateConfig,0,84,0,0,0,19,0,5,0,5
MaslyakBank_Core,MaslyakBank_Core.config,SecurityConfig,0,135,0,0,0,21,0,5,0,5
MaslyakBank_Core,MaslyakBank_Core.config,RestClientConfig,0,13,0,0,0,7,0,3,0,3
MaslyakBank_Core,MaslyakBank_Core.config,RedisConfig,0,57,0,0,0,14,0,3,0,3
MaslyakBank_Core,MaslyakBank_Core.service.admin,AdminService,5,9,0,0,1,4,1,1,1,1
MaslyakBank_Core,MaslyakBank_Core.service.admin,SuperAdminService,12,0,0,0,4,0,2,0,2,0
MaslyakBank_Core,MaslyakBank_Core.service.user,ProfileService,0,90,0,0,0,29,0,5,0,5
MaslyakBank_Core,MaslyakBank_Core.service.user,UserService,104,98,2,0,20,29,6,4,5,4
MaslyakBank_Core,MaslyakBank_Core.system,SuperAdminInitializer,50,71,9,1,14,21,5,3,0,3
MaslyakBank_Core,MaslyakBank_Core.system,UserSpecifications,52,0,8,0,8,0,7,0,3,0
MaslyakBank_Core,MaslyakBank_Core.dao,UserPageDAO,158,0,18,0,62,0,13,0,4,0
MaslyakBank_Core,MaslyakBank_Core.dao,UserSecurityDAO,219,56,30,2,75,21,20,2,4,2
MaslyakBank_Core,MaslyakBank_Core.dao,ProfileDAO,42,24,7,1,17,9,5,1,1,1
MaslyakBank_Core,MaslyakBank_Core.controller.admin,AdminController,5,0,0,0,1,0,1,0,1,0
MaslyakBank_Core,MaslyakBank_Core.controller.admin,SuperAdminController,22,0,0,0,4,0,2,0,2,0
MaslyakBank_Core,MaslyakBank_Core.controller.user,UserController,78,0,4,0,13,0,7,0,5,0
MaslyakBank_Core,MaslyakBank_Core.controller.user,ProfileController,5,0,0,0,1,0,1,0,1,0
MaslyakBank_Core,MaslyakBank_Core,GlobalExceptionHandler,12,3,0,0,2,1,1,1,1,1
MaslyakBank_Core,MaslyakBank_Core,ServletInitializer,12,0,0,0,2,0,2,0,2,0
MaslyakBank_Core,MaslyakBank_Core,MaslyakBankCoreApplication,8,0,0,0,3,0,2,0,2,0
